book_title,isbn,description
Good to Great: Why Some Companies Make the Leap... and Others Don't,0066620996,"The Challenge<br>Built to Last, the defining management study of the nineties, showed how great companies triumph over time and how long-term sustained performance can be engineered into the DNA of an enterprise from the verybeginning.<br><br>But what about the company that is not born with great DNA? How can good companies, mediocre companies, even bad companies achieve enduring greatness?<br><br>The Study<br>For years, this question preyed on the mind of Jim Collins. Are there companies that defy gravity and convert long-term mediocrity or worse into long-term superiority? And if so, what are the universal distinguishing characteristics that cause a company to go from good to great?<br><br>The Standards<br>Using tough benchmarks, Collins and his research team identified a set of elite companies that made the leap to great results and sustained those results for at least fifteen years. How great? After the leap, the good-to-great companies generated cumulative stock returns that beat the general stock market by an average of seven times in fifteen years, better than twice the results delivered by a composite index of the world's greatest companies, including Coca-Cola, Intel, General Electric, and Merck.<br><br>The Comparisons<br>The research team contrasted the good-to-great companies with a carefully selected set of comparison companies that failed to make the leap from good to great. What was different? Why did one set of companies become truly great performers while the other set remained only good?<br><br>Over five years, the team analyzed the histories of all twenty-eight companies in the study. After sifting through mountains of data and thousands of pages of interviews, Collins and his crew discovered the key determinants of greatness — why some companies make the leap and others don't.<br><br>The Findings<br>The findings of the Good to Great study will surprise many readers and shed light on virtually every area of management strategy and practice. The findings include:<br><br>Level 5 Leaders: The research team was shocked to discover the type of leadership required to achieve greatness.<br>The Hedgehog Concept (Simplicity within the Three Circles): To go from good to great requires transcending the curse of competence.<br>A Culture of Discipline: When you combine a culture of discipline with an ethic of entrepreneurship, you get the magical alchemy of great results. Technology Accelerators: Good-to-great companies think differently about the role of technology.<br>The Flywheel and the Doom Loop: Those who launch radical change programs and wrenching restructurings will almost certainly fail to make the leap.<br>“Some of the key concepts discerned in the study,” comments Jim Collins, ""fly in the face of our modern business culture and will, quite frankly, upset some people.”<br><br>Perhaps, but who can afford to ignore these findings?<br><br>""Some of the key concepts discerned in the study,"" comments Jim Collins, ""fly in the face of our modern business culture and will, quite frankly, upset some people.""<br><br>Perhaps, but who can afford to ignore these findings?"
The Adventures of Johnny Bunko: The Last Career Guide You'll Ever Need,1594482918,"<strong>View the animated video for <em>The Adventures of Johnny Bunko</em> and check out popular books for the new graduate here</strong>. <br><br>There’s never been a career guide like <em>The Adventures of Johnny Bunko </em>by Daniel H. Pink (author of <em>To Sell Is Human: The Surprising Truth About Motivating Others</em>). Told in manga—the Japanese comic book format that’s an international sensation—it’s the fully illustrated story of a young Everyman just out of college who lands his first job.<br><br>Johnny Bunko is new to the Boggs Corp., and he stumbles through his early months as a working stiff until a crisis prompts him to rethink his approach. Step by step he builds a career, illustrating as he does the six core lessons of finding, keeping, and flourishing in satisfying work. A groundbreaking guide to surviving and flourishing in any career, <em>The Adventures of Johnny Bunko </em>is smart, engaging and insightful, and offers practical advice for anyone looking for a life of rewarding work.<br><br><strong>Watch a QuickTime trailer for this book.</strong><br><br> <br><br> "
Steve Jobs,1451648537,"From best-selling author Walter Isaacson comes the landmark biography of Apple co-founder Steve Jobs.<br><br>In Steve Jobs: The Exclusive Biography, Isaacson provides an extraordinary account of Jobs' professional and personal life. Drawn from three years of exclusive and unprecedented interviews Isaacson has conducted with Jobs as well as extensive interviews with Jobs' family members and key colleagues from Apple and its competitors, Steve Jobs: The Exclusive Biography is the definitive portrait of the greatest innovator of his generation.<br><br>With an introduction read by the author.<br><br>©2011 Walter Isaacson (P)2011 Simon &amp; Schuster Inc"
The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism,0802715168,"While the Civil War raged in America, another revolution took shape across the Atlantic, in the studios of Paris: The artists who would make Impressionism the most popular art form in history were showing their first paintings amidst scorn and derision from the French artistic establishment. Indeed, no artistic movement has ever been quite so controversial. The drama of its birth, played out on canvas and against the backdrop of the Franco-Prussian War and the Commune, would at times resemble a battlefield; and as Ross King reveals, it would reorder both history and culture, and resonate around the world."
Motherless Brooklyn,0375724834,"Lionel Essrog is Brooklyn’s very own self-appointed Human Freakshow, an orphan whose Tourettic impulses drive him to bark, count, and rip apart our language in startling and original ways.  Together with three veterans of the St. Vincent’s Home for Boys, he works for small-time mobster Frank Minna’s limo service cum detective agency. Life without Frank Minna, the charismatic King of Brooklyn, would be unimaginable, so who cares if the tasks he sets them are, well, not exactly legal. But when Frank is fatally stabbed, one of Lionel’s colleagues lands in jail, the other two vie for his position, and the victim’s widow skips town. Lionel’s world is suddenly topsy-turvy, and this outcast who has trouble even conversing attempts to untangle the threads of the case while trying to keep the words straight in his head. <em>Motherless Brooklyn</em> is a brilliantly original homage to the classic detective novel by one of the most acclaimed writers of his generation."
UX for Lean Startups,1449334911,"Great user experiences (UX) are essential for products today, but designing one can be a lengthy and expensive process. With this practical, hands-on book, you’ll learn how to do it faster and smarter using Lean UX techniques. UX expert Laura Klein shows you what it takes to gather valuable input from customers, build something they’ll truly love, and reduce the time it takes to get your product to market.<br><br>No prior experience in UX or design is necessary to get started. If you’re an entrepreneur or an innovator, this book puts you right to work with proven tips and tools for researching, identifying, and designing an intuitive, easy-to-use product.<br><br><br>Determine whether people will buy your product before you build it<br>Listen to your customers throughout the product’s lifecycle<br>Understand why you should design a test before you design a product<br>Get nine tools that are critical to designing your product<br>Discern the difference between necessary features and nice-to-haves<br>Learn how a Minimum Viable Product affects your UX decisions<br>Use A/B testing in conjunction with good UX practices<br>Speed up your product development process without sacrificing quality"
A Guide to the Good Life: The Ancient Art of Stoic Joy,0195374614,"One of the great fears many of us face is that despite all our effort and striving, we will discover at the end that we have wasted our life. In <em>A Guide to the Good Life</em>, William B. Irvine plumbs the wisdom of Stoic philosophy, one of the most popular and successful schools of thought in ancient Rome, and shows how its insight and advice are still remarkably applicable to modern lives.<br>       In <em>A Guide to the Good Life</em>, Irvine offers a refreshing presentation of Stoicism, showing how this ancient philosophy can still direct us toward a better life. Using the psychological insights and the practical techniques of the Stoics, Irvine offers a roadmap for anyone seeking to avoid the feelings of chronic dissatisfaction that plague so many of us. Irvine looks at various Stoic techniques for attaining tranquility and shows how to put these techniques to work in our own life. As he does so, he describes his own experiences practicing Stoicism and offers valuable first-hand advice for anyone wishing to live better by following in the footsteps of these ancient philosophers. Readers learn how to minimize worry, how to let go of the past and focus our efforts on the things we can control, and how to deal with insults, grief, old age, and the distracting temptations of fame and fortune. We learn from Marcus Aurelius the importance of prizing only things of true value, and from Epictetus we learn how to be more content with what we have.<br>        Finally, <em>A Guide to the Good Life</em> shows readers how to become thoughtful observers of their own life.  If we watch ourselves as we go about our daily business and later reflect on what we saw, we can better identify the sources of distress and eventually avoid that pain in our life. By doing this, the Stoics thought, we can hope to attain a truly joyful life."
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,076117897X,"In his New York Times bestseller Steal Like an Artist, Austin Kleon showed readers how to unlock their creativity by stealing from the community of other movers and shakers. Now, in an even more forward-thinking and necessary book, he shows how to take that critical next step on a creative journey getting known. Show Your Work! is about why generosity trumps genius. It s about getting findable, about using the network instead of wasting time networking. It s not self-promotion, it s self-discovery let others into your process, then let them steal from you. Filled with illustrations, quotes, stories, and examples, Show Your Work! offers ten transformative rules for being open, generous, brave, productive. In chapters such as You Don t Have to Be a Genius; Share Something Small Every Day; and Stick Around, Kleon creates a user s manual for embracing the communal nature of creativity what he calls the ecology of talent. From broader life lessons about work (you can t find your voice if you don t use it) to the etiquette of sharing and the dangers of oversharing to the practicalities of Internet life (build a good domain name; give credit when credit is due), it s an inspiring manifesto for succeeding as any kind of artist or entrepreneur in the digital age."""
Pragmatic Thinking and Learning: Refactor Your Wetware,1934356050,"Software development happens in your head. Not in an editor, IDE, or design tool. You're well educated on how to work with software and hardware, but what about <em>wetware</em>--our own brains? Learning new skills and new technology is critical to your career, and it's all in your head.<br><br> In this book by Andy Hunt, you'll learn how our brains are wired, and how to take advantage of your brain's architecture. You'll learn new tricks and tips to learn more, faster, and retain more of what you learn.<br><br> You need a pragmatic approach to thinking and learning. You need to <em>Refactor Your Wetware.</em><br><br> Programmers have to learn constantly; not just the stereotypical new technologies, but also the problem domain of the application, the whims of the user community, the quirks of your teammates, the shifting sands of the industry, and the evolving characteristics of the project itself as it is built.<br><br> We'll journey together through bits of cognitive and neuroscience, learning and behavioral theory. You'll see some surprising aspects of how our brains work, and how you can take advantage of the system to improve your own learning and thinking skills.<br><br>In this book you'll learn how to:<br><br>Use the Dreyfus Model of Skill Acquisition to become more expert<br><br>Leverage the architecture of the brain to strengthen different thinking modes<br><br>Avoid common ""known bugs"" in your mind<br><br>Learn more deliberately and more effectively<br><br>Manage knowledge more efficiently<br><br><br><br><strong>Printed in full color.</strong>"
East of Eden,0142000655,"Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel. Here Steinbeck created some of his most memorable characters and explored his most enduring themes: the mystery of identity; the inexplicability of love; and the murderous consequences of love’s absence."
Thanks for the Feedback: The Science and Art of Receiving Feedback Well,0670014664,"<strong>The bestselling authors of the classic <em>Difficult Conversations </em>teach us how to turn evaluations, advice, criticisms, and coaching into productive listening and learning</strong><br><br>We swim in an ocean of feedback. Bosses, colleagues, customers—but also family, friends, and in-laws—they all have “suggestions” for our performance, parenting, or appearance. We know that feedback is essential for healthy relationships and professional development—but we dread it and often dismiss it.<br><br>That’s because receiving feedback sits at the junction of two conflicting human desires. We do want to learn and grow. And we also want to be accepted just as we are right now. <em>Thanks for the Feedback </em>is the first book to address this tension head on. It explains why getting feedback is so crucial yet so challenging, and offers a powerful framework to help us take on life’s blizzard of off-hand comments, annual evaluations, and unsolicited advice with curiosity and grace.<br><br>The business world spends billions of dollars and millions of hours each year teaching people how to give feedback more effectively. Stone and Heen argue that we’ve got it backwards and show us why the smart money is on educating <em>r<em>e</em>ceivers—</em> in the workplace and in personal relationships as well.<br><br>Coauthors of the international bestseller <em>Difficult Conversations</em>, Stone and Heen have spent the last ten years working with businesses, nonprofits, governments, and families to determine what helps us learn and what gets in our way. With humor and clarity, they blend the latest insights from neuroscience and psychology with practical, hard-headed advice. The book is destined to become a classic in the world of leadership, organizational behavior, and education."
The Road to Burgundy: The Unlikely Story of an American Making Wine and a New Life in France,1592408125,"<strong>An intoxicating memoir of an American who discovers a passion for French wine, and gambles everything to chase a dream of owning a vineyard in Burgundy </strong><br><br>Ray Walker had a secure career in finance until a wine-tasting vacation ignited a passion that he couldn’t stifle. Ray neglected his work, spending hours poring over ancient French winemaking texts, learning the techniques and the language, and daydreaming about vineyards. After Ray experienced his first taste of wine from Burgundy, he could wait no longer. He quit his job and went to France to start a winery—with little money, a limited command of French, and virtually no winemaking experience. <br><br>Fueled by determination and <em>joie de vivre</em>, he immersed himself in the extraordinary history of Burgundy’s vineyards and began honing his skills. Ray became a pioneer in his use of ancient techniques in modern times and founded Maison Ilan. In 2009, Ray became the first non-French winemaker to purchase grapes and produce a wine from Le Chambertin, long considered to be one of the most revered and singular vineyards in the world. <br><br>Along with his struggle to capture his wine’s distinct terroir, Ray shares enthralling stories of late-night tastings, flying down the Route National on a vintage Peugeot bicycle with no brakes, and his journey to secure both the trust of his insular Burgundian neighbors and the region’s most coveted grapes. Capturing the sunlight, the smell of the damp soil, and the taste of superlative wine, <em>The Road to Burgundy</em> is a glorious celebration of finding one’s true path in life, and taking a chance—whatever the odds."
"Economix: How and Why Our Economy Works (and Doesn't Work), in Words and Pictures",0810988399,"Stimulus plans: good or bad? Free markets: How free are they? Jobs: Can we afford them? Occupy Wall Street . . . worldwide<br><br>Everybody's talking about the economy, but how can we, the people, understand what Wall Street or Washington knows--or say they know? Read ""Economix.""<br><br>With clear, witty writing and quirky, accessible art, this important and timely graphic novel transforms ""the dismal science"" of economics into a fun, fact-filled story about human nature and our attempts to make the most of what we've got . . . and sometimes what our neighbors have got. ""Economix ""explains it all, from the beginning of Western economic thought, to markets free and otherwise, to economic failures, successes, limitations, and future possibilities. It's the essential, accessible guide to understanding the economy and economic practices. A must-read for every citizen and every voter.PRAISE FOR ""ECONOMIX<br>""<br>""It's simply phenomenal. You could read ten books on the subject and not glean as much information.""-- David Bach founder of FinishRich Media; author of nine ""New York Times"" bestsellers, including ""Debt Free for Life"" and ""The Automatic Millionaire"" ""Goodwin has done the seemingly impossible--he has made economics comprehensible ""and"" funny.""-- Joel Bakan, author of ""The Corporation"" ""The Pathological Pursuit of Profit and Power"" ""An amazing lesson in true-world economics Delightfully presented, powerful, insightful, and important information What a fun way to fathom a deep and often dark subject ""-- John Perkins, author of ""Hoodwinked"" and the ""New York Times"" bestseller ""Confessions of an Economic Hit Man"" ""Smart, insightful, clear, and as close to the truth as economics can get. The bonus: Who would have guessed that economics could be fun, and--here's the joy--really accessible? Goodwin roots us in history and fills us with common sense understanding. As he puts it early on, economics seems horribly complicated mostly because we're looking at it all at once. Broken down into its component pieces, it's relatively easy to understand. And a good understanding of economics is critical to maneuvering in the world today. If I were compiling a list of the 100 most important books you can read in a lifetime, this would be on it.""--Stephen Petranek, editor-in-chief, Weider History magazines, former editor-in-chief of ""Discover"" magazine ""Through a potent mix of comics and punchy, concise, accessible prose, Goodwin takes us on a provocative, exhaustively researched, and exceedingly engaging trip through our history and present day, creating an alternately hilarious and scary picture of where we are today as an economy-- and what it all means. More than that, Goodwin makes the arcane, understandable. If your mind either spins or slumbers at the thought of economics, read Goodwin's ""Economix"" and all will become clear. --Nomi Prins, author of ""It Takes a Pillage: An Epic Tale of Power, Deceit, and Untold Trillions"" """"Economix"" is a lively, cheerfully opinionated romp through the historical and intellectual foundations of our current economy and our current economic problems. Goodwin has a knack for distilling complex ideas and events in ways that invite the reader to follow the big picture without losing track of what actually happened. Any reader wondering how our economy got to where it is today will find this a refreshing overview.""--Timothy W. Guinnane, Philip Golden Bartlett Professor of Economic History, Yale University"
Kern and Burn: Conversations With Design Entrepreneurs,0989183203,"Kern and Burn: Conversations With Design Entrepreneurs is a beautiful two-color book that features candid conversations with 30 leading designers who have founded startups, channeled personal passions into self-made careers and taken risks to do what they love. In this book they share their failures, successes, and perspectives. Our hope is that you can learn from them-not to follow in their footsteps-but to chart your own course in parallel, one that allows you to thrive, add value to the world and love what you do."
Practical Object Oriented Design in Ruby,0321721330,"The Complete Guide to Writing More Maintainable, Manageable, Pleasing, and Powerful Ruby Applications Ruby's widely admired ease of use has a downside: Too many Ruby and Rails applications have been created without concern for their long-term maintenance or evolution. The Web is awash in Ruby code that is now virtually impossible to change or extend. This text helps you solve that problem by using powerful real-world object-oriented design techniques, which it thoroughly explains using simple and practical Ruby examples. Sandi Metz has distilled a lifetime of conversations and presentations about object-oriented design into a set of Ruby-focused practices for crafting manageable, extensible, and pleasing code. She shows you how to build new applications that can survive success and repair existing applications that have become impossible to change. Each technique is illustrated with extended examples, all downloadable from the companion Web site, poodr.info. The first title to focus squarely on object-oriented Ruby application design, ""Practical Object-Oriented Design in Ruby"" will guide you to superior outcomes, whatever your previous Ruby experience. Novice Ruby programmers will find specific rules to live by; intermediate Ruby programmers will find valuable principles they can flexibly interpret and apply; and advanced Ruby programmers will find a common language they can use to lead development and guide their colleagues. This guide will help youUnderstand how object-oriented programming can help you craft Ruby code that is easier to maintain and upgradeDecide what belongs in a single Ruby classAvoid entangling objects that should be kept separateDefine flexible interfaces among objectsReduce programming overhead costs with duck typingSuccessfully apply inheritanceBuild objects via compositionDesign cost-effective testsSolve common problems associated with poorly designed Ruby code"
The Gift of Fear: Survival Signals That Protect Us from Violence,0747538352,"In this empowering book, Gavin de Becker, the man Oprah Winfrey calls the US's leading expert on violent behaviour, shows you how to spot even subtle signs of danger - before it's too late. Shattering the myth that most violent acts are unpredictable, de Becker, whose clients include top Hollywood stars and government agencies, offers specific ways to protect yourself and those you love, including: how to act when approached by a stranger; when you should fear someone close to you; what to do if you are being stalked; how to uncover the source of anonymous threats or phone calls; the biggest mistake you can make with a threatening person; and more. Learn to spot the danger signals others miss. It might just save your life."
The Goldfinch,0316055433,"It begins with a boy. Theo Decker, a thirteen-year-old New Yorker, miraculously survives an accident that kills his mother. Abandoned by his father, Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue, disturbed by schoolmates who don't know how to talk to him, and tormented above all by his unbearable longing for his mother, he clings to one thing that reminds him of her: a small, mysteriously captivating painting that ultimately draws Theo into the underworld of art.<br><br>As an adult, Theo moves silkily between the drawing rooms of the rich and the dusty labyrinth of an antiques store where he works. He is alienated and in love-and at the center of a narrowing, ever more dangerous circle.<br><br><em>The Goldfinch</em> is a novel of shocking narrative energy and power. It combines unforgettably vivid characters, mesmerizing language, and breathtaking suspense, while plumbing with a philosopher's calm the deepest mysteries of love, identity, and art. It is a beautiful, stay-up-all-night and tell-all-your-friends triumph, an old-fashioned story of loss and obsession, survival and self-invention, and the ruthless machinations of fate."
52 Cups of Coffee: Inspiring and insightful stories for navigating life's uncertainties,"",
Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook,0061718947,"In the ten years since his classic <em>Kitchen Confidential</em> first alerted us to the idiosyncrasies and lurking perils of eating out, from Monday fish to the breadbasket conspiracy, much has changed for the subculture of chefs and cooks, for the restaurant businessand for Anthony Bourdain. <p><em>Medium Raw</em> explores these changes, moving back and forth from the author's bad old days to the present. Tracking his own strange and unexpected voyage from journeyman cook to globe-traveling professional eater and drinker, and even to fatherhood, Bourdain takes no prisoners as he dissects what he's seen, pausing along the way for a series of confessions, rants, investigations, and interrogations of some of the most controversial figures in food.<br><br>Beginning with a secret and highly illegal after-hours gathering of powerful chefs that he compares to a mafia summit, Bourdain pulls back the curtain—but never pulls his punches—on the modern gastronomical revolution, as only he can. Cutting right to the bone, Bourdain sets his sights on some of the biggest names in the foodie world, including David Chang, the young superstar chef who has radicalized the fine-dining landscape; the revered Alice Waters, whom he treats with unapologetic frankness; the <em>Top Chef</em> winners and losers; and many more.<br><br>And always he returns to the question ""Why cook?"" Or the more difficult ""Why cook well?"" <em>Medium Raw</em> is the deliciously funny and shockingly delectable journey to those answers, sure to delight philistines and gourmands alike.</p>"
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,1591846358,"<strong>“The impediment to action advances action. What stands in the way becomes the way.” — Marcus Aurelius</strong><br><br>We are stuck, stymied, frustrated. But it needn’t be this way. There is a formula for success that’s been followed by the icons of history—from John D. Rockefeller to Amelia Earhart to Ulysses S. Grant to Steve Jobs—a formula that let them turn obstacles into opportunities. Faced with impossible situations, they found the astounding triumphs we all seek.<br><br>These men and women were not exceptionally brilliant, lucky, or gifted. Their success came from timeless philosophical principles laid down by a Roman emperor who struggled to articulate a method for excellence in any and all situations.<br><br>This book reveals that formula for the first time—and shows us how we can turn our own adversity into advantage."
The 48 Laws of Power,0140280197,"This amoral, cunning, ruthless, and instructive book synthesizes the philosophies of Machiavelli, Sun Tzu, and Carl Von Clausewitz with the historical legacies of statesmen, warriors, seducers, and con men throughout the ages."
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,0446691437,"<em>The Art of War</em> meets ""The Artist's Way"" in this no-nonsense, profoundly inspiring guide to overcoming creative blocks of every kind."
1491: New Revelations of the Americas Before Columbus,1400032059,"In this groundbreaking work of science, history, and archaeology, Charles C. Mann radically alters our understanding of the Americas before the arrival of Columbus in 1492.<br> <br>Contrary to what so many Americans learn in school, the pre-Columbian Indians were not sparsely settled in a pristine wilderness; rather, there were huge numbers of Indians who actively molded and influenced the land around them. The astonishing Aztec capital of Tenochtitlan had running water and immaculately clean streets, and was larger than any contemporary European city. Mexican cultures created corn in a specialized breeding process that it has been called man’s first feat of genetic engineering. Indeed, Indians were not living lightly on the land but were landscaping and manipulating their world in ways that we are only now beginning to understand. Challenging and surprising, this a transformative new look at a rich and fascinating world we only thought we knew."
"Zero to One: Notes on Startups, or How to Build the Future",0804139296,"<strong><em>#1 NEW YORK TIMES BESTSELLER<br></em><br><br>If you want to build a better future, you must believe in secrets.<br></strong><br>The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In <strong><em>Zero to One</em>
</strong>, legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things. <br><br>Thiel begins with the contrarian premise that we live in an age of technological stagnation, even if we’re too distracted by shiny mobile devices to notice. Information technology has improved rapidly, but there is no reason why progress should be limited to computers or Silicon Valley. Progress can be achieved in any industry or area of business. It comes from the most important skill that every leader must master: learning to think for yourself.<br><br>Doing what someone else already knows how to do takes the world from 1 to n, adding more of something familiar. But when you do something new, you go from 0 to 1. The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won’t make a search engine. Tomorrow’s champions will not win by competing ruthlessly in today’s marketplace. They will escape competition altogether, because their businesses will be unique. <br><br><em>Zero to One</em> presents at once an optimistic view of the future of progress in America and a new way of thinking about innovation: it starts by learning to ask the questions that lead you to find value in unexpected places."
Pedagogy of the Oppressed,0826412769,"First published in Portuguese in 1968, Pedagogy of the Oppressed was translated and published in English in 1970. The methodology of the late Paulo Freire has helped to empower countless impoverished and illiterate people throughout the world. Freire's work has taken on especial urgency in the United States and Western Europe, where the creation of a permanent underclass among the underprivileged and minorities in cities and urban centers is increasingly accepted as the norm. With a substantive new introduction on Freire's life and the remarkable impact of this book by writer and Freire confidant and authority Donaldo Macedo, this anniversary edition of Pedagogy of the Oppressed will inspire a new generation of educators, students, and general readers for years to come.<br><strong>For more information, visit <a href=""http://www.pedagogyoftheoppressed.com"" target=""_blank"" rel=""nofollow"">www.pedagogyoftheoppressed.com</a>.</strong>"
Mr. Penumbra's 24-Hour Bookstore,0374214913,"The Great Recession has shuffled Clay Jannon away from life as a San Francisco web-design drone and into the aisles of Mr. Penumbra’s 24-Hour Bookstore. But after a few days on the job, Clay discovers that the store is more curious than either its name or its gnomic owner might suggest. The bookstore’s secrets extend far beyond its walls."
1493: Uncovering the New World Columbus Created,0307265722,"Over 200 million years ago, geological forces split apart the continents. They developed different suites of flora &amp; fauna. When Columbus came to the Americas, he ended that separation. Driven by the goal of establishing trade with China, he accidentally set off an ecological convulsion as European vessels carried thousands of species to new environs.<br><br>The Columbian Exchange, as researchers call it, is why there are tomatoes in Italy, oranges in Florida, chocolates in Switzerland &amp; chili peppers in Thailand. More important, creatures colonists knew nothing about hitched along. Earthworms, mosquitoes &amp; cockroaches; honeybees, dandelions &amp; African grasses; bacteria, fungi &amp; viruses; rats of every description—all rushed like eager tourists into lands that had never seen their like, changing lives &amp; landscapes.<br><br>Eight decades later, a Spaniard named Legazpi succeeded where Columbus had failed. He sailed west to establish continual trade with China, then the richest, most powerful country. In Manila, a city Legazpi founded, American silver, mined by African &amp; Indian slaves, was sold to Asians in return for silk for Europeans. It was the 1st time that goods &amp; people from every part of the globe were connected in a single worldwide exchange. Much as Columbus created a new world biologically, Legazpi &amp; Spain created a new world economically.<br><br>The Columbian Exchange underlies much of subsequent history. Presenting the latest research by ecologists, anthropologists, archaeologists &amp; historians, Mann shows how the creation of this worldwide network of ecological &amp; economic exchange fostered the rise of Europe, devastated China, convulsed Africa &amp; for two centuries made Mexico City--where Asia, Europe &amp; the new frontier of the Americas interacted--the center of the world. In such encounters, he uncovers the germ of today’s political disputes, from immigration to trade policy to culture wars."
The Non-Designer's Design Book,0321193857,"So you have a great concept and all the fancy digital tools you could possibly require—what's stopping you from creating beautiful pages? Namely the training to pull all of these elements together into a cohesive design that effectively communicates your message. Not to worry: This book is the one place you can turn to find quick, non-intimidating, excellent design help. In <strong>The Non-Designer's Design Book, 2nd Edition</strong>, best-selling author <strong>Robin Williams</strong> turns her attention to the basic principles of good design and typography. All you have to do is follow her clearly explained concepts, and you'll begin producing more sophisticated, professional, and interesting pages immediately. Humor-infused, jargon-free prose interspersed with design exercises, quizzes, illustrations, and dozens of examples make learning a snap—which is just what audiences have come to expect from this best-selling author."
The Innovator's Dilemma: The Revolutionary Book That Will Change the Way You Do Business,0060521996,"In this revolutionary bestseller, Harvard professor Clayton M. Christensen says outstanding companies can do everything right and still lose their market leadership -- or worse, disappear completely. And he not only proves what he says, he tells others how to avoid a similar fate.<br><br>Focusing on ""disruptive technology"" -- the Honda Super Cub, Intel's 8088 processor, or the hydraulic excavator, for example -- Christensen shows why most companies miss ""the next great wave."" Whether in electronics or retailing, a successful company with established products will get pushed aside unless managers know when to abandon traditional business practices. Using the lessons of successes and failures from leading companies, ""The Innovator's Dilemma"" presents a set of rules for capitalizing on the phenomenon of disruptive innovation.<br><br>Find out: When it is right ""not"" to listen to customers. When to invest in developing lower-performance products that promise lower margins. When to pursue small markets at the expense of seemingly larger and more lucrative ones.<br><br>Sharp, cogent, and provocative, ""The Innovator's Dilemma"" is one of the most talked-about books of our time -- and one no savvy manager or entrepreneur should be without."
Fluent Forever: How to Learn Any Language Fast and Never Forget It,"","The ultimate rapid language-learning guide! For those who’ve despaired of ever learning a foreign language, here, finally, is a book that will make the words stick.<strong> </strong>At thirty years old, Gabriel Wyner speaks <em>six </em>languages fluently.  He didn’t learn them in school -- who does? -- rather, he learned them in the past few years, working on his own and practicing on the subway, using simple techniques and free online resources. In <em>Fluent Forever</em> Wyner reveals what he’s discovered.  <br><strong> </strong><br>The greatest challenge to learning a foreign language is the challenge of memory; there are just too many words and too many rules. For every new word we learn, we seem to forget two old ones, and as a result, fluency can seem out of reach. <em>Fluent Forever</em> tackles this challenge head-on. With empathy for the language-challenged and abundant humor, Wyner deconstructs the learning process, revealing how to build a foreign language in your mind from the ground up. <br> <br>Starting with pronunciation, you’ll learn how to rewire your ears and turn foreign sounds into <em>familiar</em> sounds. You'll retrain your tongue to produce those sounds accurately, using tricks from opera singers and actors. Next, you'll begin to tackle words, and connect sounds and spellings to imagery, rather than translations, which will enable you to <em>think</em> in a foreign language<em>.  </em>And with the help of sophisticated spaced-repetition techniques, you'll be able to memorize hundreds of words a month in <em>minutes</em> every day. Soon, you'll gain the ability to learn grammar and more difficult abstract words--<em>without </em>the tedious drills and exercises of language classes and grammar books. <br> <br>This is brain hacking at its most exciting, taking what we know about neuroscience and linguistics and using it to create the most efficient and enjoyable way to learn a foreign language in the spare minutes of your day."
Man's Search for Meaning,080701429X,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Between 1942 and 1945, Frankl labored in four different camps, including Auschwitz, while his parents, brother, and pregnant wife perished. Based on his own experience and the experiences of others he treated later in his practice, Frankl argues that we cannot avoid suffering, but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. Frankl's theory--known as logotherapy, from the Greek word logos (""meaning"")--holds that our primary drive in life is not pleasure, as Freud maintained, but the discovery and pursuit of what we personally find meaningful.<br><br>At the time of Frankl's death in 1997, <em>Man's Search for Meaning</em> had sold more than 10 million copies in twenty-four languages. A 1991 reader survey for the Library of Congress that asked readers to name a ""book that made a difference in your life"" found <em>Man's Search for Meaning</em> among the ten most influential books in America."
How to Think Like a Great Graphic Designer,1581154968,"Take a peek inside the heads of some of the world’s greatest living graphic designers. How do they think, how do they connect to others, what special skills do they have? In honest and revealing interviews, nineteen designers, including Stefan Sagmeister, Michael Beirut, David Carson, and Milton Glaser, share their approaches, processes, opinions, and thoughts about their work with noted brand designer Debbie Millman. The internet radio talk host of Design Matters, Millman persuades the greatest graphic designers of our time to speak frankly and openly about their work. How to Think Like a Great GraphicDesigners offers a rare opportunity to observe and understand the giants of the industry. Designers interviewed include: —Milton Glaser —Stefan Sagmeister —David Carson —Paula Scher —Abbott Miler —Lucille Tenazas —Paul Sahre —Emily Oberman and Bonnie Siegler —Chip Kidd —James Victore —Carin Goldberg —Michael Bierut —Seymour Chwast —Jessica Helfand and William Drenttel —Steff Geissbuhler —John Maeda"
